"ID","Is Private","Is Attachments Folder","File URL","Attached To DocType","File Size","Thumbnail URL","File Name"
"4d1f04f53c",1,0,"/private/files/Program (1).csv","Data Import",7383,"","Program (1)30fb1b.csv"
"e8cb6abc27",1,0,"/private/files/Program (1).csv","Data Import",7383,"","Program (1).csv"
"225b94acab",1,0,"/private/files/Course9bbaed.csv","Data Import",10153,"","Course9bbaed.csv"
"ccd27aed6b",0,0,"/files/Héritier-Arjun MBANZA_cv.pdf","User",392350,"","Héritier-Arjun MBANZA_cv.pdf"
"ea9263cce7",0,0,"/files/Nkomba À koung_cv.pdf","User",240933,"","Nkomba À koung_cv.pdf"
"3e0ef966c4",1,0,"/private/files/CV Dominique Nguetcheu PHP.pdf","User",56472,"","CV Dominique Nguetcheu PHP.pdf"
"2a95a14569",0,0,"/files/TSOPDIEU FOPA CEDRIC GUEUBRUERS_cv.pdf","User",86288,"","TSOPDIEU FOPA CEDRIC GUEUBRUERS_cv.pdf"
"8e5af494e9",0,0,"/files/TCHENEGHON HERMAN_cv.pdf","User",700555,"","TCHENEGHON HERMAN_cv.pdf"
"6fd77c9511",0,0,"/files/Boris vianney Biya_cv.pdf","User",48932,"","Boris vianney Biya_cv.pdf"
"fb52c7203b",0,0,"/files/Saloum Maïga_cv.pdf","User",670850,"","Saloum Maïga_cv.pdf"
"60aaa8497e",0,0,"/files/diakaria Coulibaly_cv.pdf","User",216180,"","diakaria Coulibaly_cv.pdf"
"e50fd97386",0,0,"/files/Chick Henry Tebo_cv.pdf","User",107517,"","Chick Henry Tebo_cv.pdf"
"c693ea6f16",0,0,"/files/upload.svg","Website Theme",318,"","upload.svg"
"a3e71dc519",1,0,"/private/files/Screenshot_20220308-191812.png","Communication",28752,"","Screenshot_20220308-191812.png"
"5be983db73",1,0,"/private/files/Screenshot_20220301-173103.jpeg","Communication",159188,"","Screenshot_20220301-173103.jpeg"
"94f87c63b7",0,0,"/files/fKHH3K5.png","Article",557583,"","fKHH3K5.png"
"8a5829af0a",0,0,"/files/ZdKty2B.png","Article",348920,"","ZdKty2B.png"
"4f918b133c",0,0,"/files/MzCttJn.png","Article",414743,"","MzCttJn.png"
"2b70b44123",0,0,"/files/z2XPvTv.png","Article",344558,"","z2XPvTv.png"
"cc5a66fae7",0,0,"/files/bhwTTH0.png","Article",176884,"","bhwTTH0.png"
"9a47e74563",0,0,"/files/lZwwqmm.png","Article",126962,"","lZwwqmm.png"
"ddac988080",0,0,"/files/hMx1HNi.png","Article",130215,"","hMx1HNi.png"
"cc50bdb94c",0,0,"/files/UrK57yB.png","Article",225870,"","UrK57yB.png"
"2cc1d2d1c3",0,0,"/files/documents.jpg","Topic",23295,"","documents.jpg"
"a6c9711b08",0,0,"/files/tuleap.jpg","Topic",26568,"","tuleap.jpg"
"ecec5db3f2",0,0,"/files/chat.jpg","Topic",33623,"","chat.jpg"
"7ae89b2617",0,0,"/files/mail.jpg","Topic",26540,"","mail.jpg"
"adbe549589",0,0,"/files/jione.jpg","Topic",83456,"","jione.jpg"
"9c77ecb691",0,0,"/files/gate.jpg","Topic",33322,"","gate.jpg"
"e92e75de6e",1,0,"/private/files/Article.csv","Data Import",2306,"","Article.csv"
"e4974d05aa",0,0,"/files/photo2[1].jpg","User",0,"","photo2[1].jpg"
"eae45fe0a3",0,0,"/files/photo2[1].jpg","",406427,"","photo2[1].jpg"
"19ea4a8cbb",0,0,"/files/IMG_20211225_082627_4.jpg","",1043817,"","IMG_20211225_082627_4.jpg"
"1e20a8a350",0,0,"/files/IMG_20211215_081322.jpg","User",0,"","IMG_20211215_081322.jpg"
"4cdb9d5a73",0,0,"/files/IMG_20211215_081322.jpg","",823950,"","IMG_20211215_081322.jpg"
"b61d897c0d",1,0,"/private/files/ContactUsSettings.pdf","Communication",20346,"","ContactUsSettings.pdf"
"13902eaf03",1,0,"/private/files/Student_Applicant.csv","Data Import",145,"","Student_Applicant.csv"
"31571f8b17",1,0,"/private/files/User.csv","Data Import",20261,"","User.csv"
"8a6ec07d14",1,0,"/private/files/Role_Profile.csv","Data Import",118,"","Role_Profile.csv"
